employee_number|employee_grade|local_expat|assignment_status|employee_depute_branch|region|geography|group_customer|project_iou|project_type|department|employee_parent_iou|mapped_parent_ou_excluding_bps|mapped_sub_iou_parent_ou_excluding_bps|mapped_project_ou|mapped_sub_project_ou|tcs_exp|total_rel_exp|won_swon|delivery_unit|bg|emp_role|mlt_pool_category|status|completion_certification_id|completion_certification_name|completion_date
311403|C3B|Expat|Resigned and Serving Notice Period|RM Norway|Norway|EUROPE|Group Client - Gjensidige Forsikring ASA|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.4-Group4|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.4-Group4|1+ yrs in TCS|13.89|WON|IS-BFSI-Europe NW-Parent|BFSI|Solution Architect|Generic|FY22 Completion|4404|AWS Certified Developer â€“ Associate Level (ENGLISH)|06/09/2018
198555|C4|Expat|Active Assignment|TGER - Deutschland|Germany|EUROPE|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|19.05|WON|BFSI-CBO-Parent|BFSI|Project Manager|Generic|Completed|3551|Project Management Professional (PMP) Certification|31/01/2022
250615|C3B|Expat|Active Assignment|TITY - Milan|Italy|EUROPE|Group Client - UniCredit SpA|IS-BFSI-Europe NW-Parent|TURNKEY|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.6-Group6|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.6-Group6|1+ yrs in TCS|14.32|WON|IS-BFSI-Europe NW-Parent|BFSI|Program Manager|Generic|Completed|16701|Leadership : TCS Elevate Wings3 Curriculum|22/09/2022
154681|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - Lloyds Banking Group plc|IS-BFSI-UK 1-Parent|TIME AND MATERIAL|CC|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|18.68|WON|IS-BFSI-UK 1-Parent|BFSI|Project Manager|Generic|Completed|1824|SAFe Agilist (SA) Certification|21/09/2022
312348|C3B|Local|Active Assignment|TCCI - Canada|Canada|NORTH AMERICA|Group Client - Bank of Montreal|IS-BFSI-Canada-Parent|TIME AND MATERIAL|CC|IS-BFSI-Canada-Parent|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|IS-BFSI-Canada-Parent|IS-BFSI-Canada 1.2-Group2|1+ yrs in TCS|13.88|WON|IS-BFSI-Canada-Parent|BFSI|Project Manager|Generic|Completed|3551|Project Management Professional (PMP) Certification|17/09/2021
207904|C3A|Local|Active Assignment|TCS - Lucknow|Lucknow|INDIA||IS-BFSI-Europe NW-Parent|OPEX|CC|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.6-Group6|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.6-Group6|1+ yrs in TCS|16.11|SWON|IS-BFSI-Europe NW-Parent|BFSI|Analyst|Generic|FY22 Completion|13557|Tableau Desktop Specialist Certification|20/01/2022
392246|C3A|Local|Active Assignment|TCS - Pune|Pune|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|1+ yrs in TCS|15.35|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Executive|Generic|Completed|14174|Microsoft Certified Azure Administrator Associate Certification|31/08/2022
1059499|C3A|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TURNKEY|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.4-Group4|1+ yrs in TCS|12|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Technical Lead|Generic|Completed|2166|MongoDB Certified Developer Associate Certification|21/09/2022
341408|C3A|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - FIDELITY NATIONAL INFORMATION SERVICES INC.|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-West|1+ yrs in TCS|12.73|WON|BFSI-Enterprise Application Services - Parent|BFSI|Analyst|Generic|Completed|20718|TCS Scrum Master|24/09/2022
361626|C3A|Local|Active Assignment|TCS - Hyderabad|Hyderabad|INDIA|Group Client - UNITED SERVICES AUTOMOBILE ASSOCIAT|IS-BFSI-US West-Parent|TURNKEY|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US West-Parent|IS-BFSI-US West 1.3-Group3|1+ yrs in TCS|15.7|WON|BFSI-CBO-Parent|BFSI|Developer|Generic|Completed|#N/A|#N/A|#N/A
